Customer_ID,Customer_Name,Age,Gender,City,Customer_Segment,Account_Type,Tenure_Months,Digital_Engagement_Score,Monthly_Income_Band,Preferred_Channel,Account_Status
FT-C00032,Tunde Eze,45,Female,Lagos,Premium,Savings,81,80,100k-249k,USSD,Active
FT-C00033,David Nwosu,33,Female,Enugu,Everyday,Savings,25,48.1,Below 100k,Web,Active
FT-C00034,Chiamaka Ibrahim,32,Female,Ibadan,Premium,Premium,59,59.1,250k-499k,Web,Active
FT-C00035,Fatima Adeyemi,64,Female,Lagos,Premium,Premium,72,43.1,1m+,USSD,Active
FT-C00036,Emeka Eze,61,Male,Benin City,Everyday,Savings,69,88.6,250k-499k,Web,Active
FT-C00037,Mariam Okafor,20,Female,Lagos,Premium,Savings,5,32.1,500k-999k,Mobile App,Dormant
FT-C00038,Chiamaka Usman,54,Female,Abuja,Student,Savings,19,44.9,500k-999k,Mobile App,Dormant
FT-C00039,Tunde Adebayo,24,Female,Lagos,Student,Current,23,58.8,Below 100k,USSD,Active
FT-C00040,Amina Williams,38,Female,Kano,Premium,Current,9,78.2,250k-499k,Mobile App,Active
FT-C00041,Fatima Adebayo,26,Male,Ibadan,Premium,Current,94,58.6,100k-249k,Mobile App,Restricted
FT-C00042,Chiamaka Okafor,56,Male,Lagos,Everyday,Premium,50,61.4,100k-249k,Mobile App,Active
FT-C00043,Samuel Usman,35,Female,Enugu,Everyday,Savings,16,61.8,250k-499k,Web,Active
FT-C00044,Amina Ojo,21,Female,Abuja,Everyday,Savings,33,71.1,500k-999k,USSD,Active
FT-C00045,Grace Usman,42,Female,Lagos,SME,Savings,2,46,Below 100k,Mobile App,Active
FT-C00046,Blessing Adeyemi,31,Male,Lagos,Everyday,Savings,14,51,1m+,Mobile App,Active
FT-C00047,Ibrahim Adeyemi,26,Male,Lagos,Everyday,Savings,1,98.3,500k-999k,USSD,Active
FT-C00048,Ibrahim Adeyemi,43,Male,Lagos,SME,Savings,90,75.2,1m+,Mobile App,Active
FT-C00049,Ada Okafor,19,Female,Port Harcourt,SME,Current,58,81.7,100k-249k,Mobile App,Active
FT-C00050,Samuel Bello,37,Male,Benin City,Student,Premium,89,69,1m+,USSD,Active
FT-C00051,Emeka Eze,45,Female,Port Harcourt,Everyday,Savings,16,65.5,100k-249k,Mobile App,Active
FT-C00052,Ibrahim Eze,64,Female,Lagos,Everyday,Savings,79,76.2,Below 100k,Mobile App,Restricted
FT-C00053,Grace Mohammed,24,Female,Lagos,Everyday,Savings,90,81.1,500k-999k,Web,Active
FT-C00054,Tunde Garba,61,Female,Lagos,Everyday,Current,47,83.2,250k-499k,Mobile App,Active
FT-C00055,Samuel Garba,25,Male,Abuja,Everyday,Current,44,65.7,250k-499k,USSD,Active
FT-C00056,Grace Usman,64,Male,Kano,Premium,Savings,80,85.2,250k-499k,Mobile App,Active
FT-C00057,Tunde Mohammed,52,Female,Lagos,SME,Savings,14,23.6,Below 100k,Mobile App,Active
FT-C00058,Ibrahim Bello,31,Male,Kano,Everyday,Savings,93,84.1,250k-499k,Mobile App,Active
FT-C00059,Yusuf Garba,34,Prefer not to say,Enugu,Student,Savings,24,60.3,100k-249k,Mobile App,Active
FT-C00060,Grace Ojo,53,Male,Abuja,Premium,Savings,55,78,250k-499k,Web,Dormant
FT-C00061,Samuel Eze,57,Male,Benin City,Everyday,Current,15,56.3,100k-249k,Web,Active
FT-C00062,Ibrahim Eze,21,Male,Port Harcourt,Premium,Premium,83,44.1,1m+,USSD,Active
FT-C00063,Fatima Okafor,19,Prefer not to say,Ibadan,Everyday,Savings,72,74.1,250k-499k,Mobile App,Active
FT-C00064,Blessing Okafor,23,Male,Port Harcourt,Everyday,Current,34,41,500k-999k,Web,Active
FT-C00065,Samuel Okafor,59,Female,Abuja,Student,Premium,2,60.8,1m+,Mobile App,Active
FT-C00066,Daniel Usman,21,Female,Lagos,Everyday,Savings,27,53.4,250k-499k,Web,Active
FT-C00067,Yusuf Eze,46,Male,Lagos,SME,Savings,74,64.8,Below 100k,Web,Active
FT-C00068,Blessing Usman,35,Female,Lagos,Everyday,Premium,87,82.3,Below 100k,Mobile App,Active
FT-C00069,Yusuf Eze,43,Male,Port Harcourt,Premium,Savings,72,59.2,250k-499k,Mobile App,Active
FT-C00070,Mariam Williams,61,Female,Lagos,Everyday,Premium,92,73.7,100k-249k,Mobile App,Active
FT-C00071,Blessing Mohammed,51,Female,Enugu,Everyday,Premium,23,81.3,250k-499k,Mobile App,Active
FT-C00072,Daniel Bello,27,Female,Kano,Everyday,Current,68,57.1,100k-249k,USSD,Active
FT-C00073,Tunde Ibrahim,53,Female,Abuja,Premium,Current,14,57.3,100k-249k,Mobile App,Active
FT-C00074,Blessing Ojo,31,Male,Lagos,Student,Current,63,92.6,250k-499k,Mobile App,Active
FT-C00075,Grace Adebayo,48,Male,Enugu,SME,Current,93,66.6,1m+,Mobile App,Active
FT-C00076,Emeka Bello,65,Male,Benin City,Premium,Savings,65,77.2,250k-499k,Web,Active
FT-C00077,Ibrahim Okafor,32,Male,Kano,Student,Savings,68,77,1m+,Mobile App,Active
FT-C00078,Daniel Usman,25,Female,Lagos,Student,Savings,63,46.4,1m+,Mobile App,Active
FT-C00079,Mariam Garba,31,Male,Abuja,Student,Current,96,54.3,100k-249k,Mobile App,Active
FT-C00080,Zainab Nwosu,40,Male,Lagos,Premium,Savings,90,74.8,100k-249k,Web,Active
FT-C00081,Daniel Garba,57,Male,Lagos,Premium,Savings,81,30.8,500k-999k,Mobile App,Active
FT-C00082,Grace Williams,38,Female,Kano,Student,Savings,87,64.2,500k-999k,Web,Active
FT-C00083,Grace Adebayo,33,Male,Kano,Everyday,Current,64,52.4,250k-499k,Mobile App,Active
FT-C00084,David Adebayo,62,Male,Port Harcourt,Student,Premium,32,88,1m+,Mobile App,Active
FT-C00085,Tunde Adebayo,35,Prefer not to say,Enugu,Premium,Premium,79,74.2,Below 100k,Mobile App,Dormant
FT-C00086,Zainab Nwosu,64,Male,Port Harcourt,Everyday,Savings,13,89.4,100k-249k,Mobile App,Active
FT-C00087,David Adebayo,41,Female,Abuja,Everyday,Premium,66,67.3,250k-499k,Mobile App,Active
FT-C00088,Daniel Adeyemi,43,Male,Abuja,Everyday,Current,19,65.9,250k-499k,Mobile App,Dormant
FT-C00089,Ada Bello,42,Male,Kaduna,Premium,Savings,24,62.5,Below 100k,Mobile App,Active
FT-C00090,Fatima Usman,62,Female,Lagos,Student,Savings,88,58.9,100k-249k,Mobile App,Active
FT-C00091,Emeka Usman,58,Male,Kaduna,Everyday,Savings,11,100,Below 100k,Mobile App,Active
FT-C00092,Grace Okafor,46,Male,Benin City,Student,Premium,59,82.5,250k-499k,USSD,Active
FT-C00093,Blessing Garba,32,Female,Lagos,SME,Savings,86,48.8,500k-999k,Mobile App,Active
FT-C00094,Ibrahim Mohammed,62,Female,Port Harcourt,Everyday,Savings,15,100,500k-999k,Web,Dormant
FT-C00095,Mariam Garba,18,Female,Enugu,SME,Current,10,60.7,250k-499k,Web,Active
FT-C00096,Grace Adebayo,42,Female,Port Harcourt,SME,Savings,41,73.8,250k-499k,Mobile App,Active
FT-C00097,Mariam Okafor,24,Female,Enugu,Student,Savings,27,84.9,250k-499k,Web,Active
FT-C00098,Yusuf Ojo,26,Male,Kaduna,Student,Current,60,40.3,Below 100k,Mobile App,Active
FT-C00099,Daniel Adeyemi,41,Female,Abuja,SME,Savings,73,53.1,100k-249k,Mobile App,Active
FT-C00100,Yusuf Mohammed,18,Female,Abuja,Premium,Current,52,97.7,100k-249k,Mobile App,Active
FT-C00101,Blessing Ojo,61,Male,Kaduna,Everyday,Savings,28,64,500k-999k,Mobile App,Active
FT-C00102,Fatima Adeyemi,25,Male,Ibadan,Student,Current,65,86,1m+,Mobile App,Active
FT-C00103,Tunde Mohammed,41,Female,Lagos,Premium,Current,17,59.8,250k-499k,Mobile App,Active
FT-C00104,Ibrahim Okafor,28,Female,Lagos,Premium,Savings,95,66.3,250k-499k,Mobile App,Active
FT-C00105,Chiamaka Nwosu,34,Female,Port Harcourt,Everyday,Savings,44,100,Below 100k,Mobile App,Active
FT-C00106,David Mohammed,25,Male,Kaduna,Student,Current,10,75.9,250k-499k,Mobile App,Active
FT-C00107,Daniel Usman,52,Female,Benin City,Everyday,Current,63,61.8,250k-499k,Mobile App,Dormant
FT-C00108,Ibrahim Ojo,52,Male,Ibadan,SME,Current,93,55.7,100k-249k,Mobile App,Active
FT-C00109,Yusuf Adebayo,50,Male,Lagos,Everyday,Premium,82,57.3,100k-249k,Mobile App,Active
FT-C00110,Zainab Williams,22,Female,Lagos,Everyday,Savings,47,90.3,500k-999k,Mobile App,Active
FT-C00111,Ada Ojo,59,Male,Enugu,Everyday,Savings,38,81.8,500k-999k,Mobile App,Active
FT-C00112,Chiamaka Adebayo,56,Prefer not to say,Lagos,Everyday,Premium,70,47.3,500k-999k,USSD,Active
FT-C00113,Ibrahim Adeyemi,58,Female,Lagos,Student,Savings,76,69.6,500k-999k,Web,Active
FT-C00114,Samuel Eze,45,Male,Lagos,SME,Savings,53,66.8,1m+,Mobile App,Active
FT-C00115,Amina Adebayo,24,Male,Ibadan,Student,Savings,78,73.7,100k-249k,Web,Active
FT-C00116,Blessing Adebayo,26,Male,Kaduna,Everyday,Savings,44,57.1,Below 100k,Mobile App,Dormant
FT-C00117,Chiamaka Okafor,25,Male,Lagos,Everyday,Savings,74,87.8,100k-249k,Mobile App,Active
FT-C00118,Ibrahim Usman,29,Male,Abuja,Student,Premium,54,68,Below 100k,USSD,Active
FT-C00119,David Okafor,51,Male,Ibadan,SME,Savings,20,74.7,250k-499k,Mobile App,Dormant
FT-C00120,Samuel Williams,50,Male,Kaduna,Premium,Savings,79,53.9,250k-499k,USSD,Active
FT-C00121,Grace Williams,65,Male,Lagos,Premium,Premium,31,54.8,250k-499k,Mobile App,Active
FT-C00122,Fatima Adebayo,40,Male,Port Harcourt,Everyday,Premium,7,100,100k-249k,Mobile App,Active
FT-C00123,Emeka Nwosu,41,Male,Abuja,SME,Savings,58,100,500k-999k,Mobile App,Active
FT-C00124,Blessing Ojo,54,Female,Enugu,Premium,Savings,10,66.7,Below 100k,Mobile App,Active
FT-C00125,Daniel Garba,52,Female,Abuja,Everyday,Current,10,95.6,100k-249k,Mobile App,Active
FT-C00126,Ada Garba,61,Female,Lagos,Everyday,Current,39,89.8,250k-499k,Mobile App,Active
FT-C00127,Ibrahim Ibrahim,57,Female,Ibadan,SME,Current,28,56.7,500k-999k,Web,Active
FT-C00128,Yusuf Ojo,39,Female,Kano,Everyday,Premium,30,55,100k-249k,Mobile App,Active
FT-C00129,Zainab Garba,44,Male,Lagos,Everyday,Current,37,80,Below 100k,Mobile App,Active
FT-C00130,Yusuf Adebayo,52,Female,Benin City,Premium,Savings,67,72.7,250k-499k,Mobile App,Active
FT-C00131,Blessing Bello,18,Male,Lagos,Everyday,Current,43,60.8,Below 100k,USSD,Active
FT-C00132,Ada Garba,52,Female,Port Harcourt,Everyday,Savings,79,81,Below 100k,Mobile App,Active
FT-C00133,Chiamaka Adeyemi,54,Male,Abuja,Student,Current,85,42,250k-499k,Mobile App,Active
FT-C00134,Amina Adebayo,64,Male,Kano,SME,Current,52,70.1,100k-249k,USSD,Active
FT-C00135,Blessing Usman,31,Female,Abuja,Student,Savings,56,45.7,100k-249k,Mobile App,Dormant
FT-C00136,David Ojo,20,Male,Enugu,SME,Savings,76,46.3,250k-499k,Mobile App,Active
FT-C00137,Emeka Eze,18,Female,Kano,Premium,Savings,68,55.3,1m+,Web,Active
FT-C00138,Amina Usman,22,Male,Ibadan,Student,Savings,9,74.5,1m+,Web,Active
FT-C00139,Grace Garba,43,Female,Benin City,Everyday,Current,92,55.8,100k-249k,Mobile App,Active
FT-C00140,Mariam Williams,31,Male,Kano,Student,Savings,23,46.1,100k-249k,Mobile App,Active
FT-C00141,Emeka Eze,56,Female,Lagos,SME,Current,63,76.6,100k-249k,Web,Dormant
FT-C00142,Grace Garba,44,Male,Abuja,Everyday,Savings,61,94.9,100k-249k,Mobile App,Active
FT-C00143,Yusuf Williams,26,Male,Kaduna,Everyday,Current,40,79.5,250k-499k,USSD,Active
FT-C00144,Fatima Adeyemi,32,Female,Lagos,Premium,Current,44,100,250k-499k,Mobile App,Active
FT-C00145,Blessing Ojo,32,Female,Kano,Everyday,Current,86,93.4,250k-499k,Mobile App,Active
FT-C00146,Ada Okafor,43,Female,Kaduna,Everyday,Savings,24,59.2,100k-249k,Mobile App,Active
FT-C00147,Emeka Eze,59,Female,Lagos,Student,Premium,51,79.4,100k-249k,Web,Active
FT-C00148,Zainab Adeyemi,30,Male,Ibadan,SME,Savings,58,66.4,250k-499k,USSD,Active
FT-C00149,Chiamaka Mohammed,49,Female,Abuja,Everyday,Savings,90,87.1,100k-249k,Web,Active
FT-C00150,Zainab Mohammed,56,Female,Port Harcourt,Everyday,Savings,94,66.3,250k-499k,USSD,Active
FT-C00151,Emeka Eze,49,Female,Lagos,Everyday,Savings,33,53.8,250k-499k,Mobile App,Active
FT-C00152,Tunde Williams,21,Male,Lagos,SME,Premium,16,92.7,250k-499k,Mobile App,Dormant
FT-C00153,Zainab Eze,47,Female,Ibadan,Premium,Savings,22,73.7,250k-499k,Web,Active
FT-C00154,Mariam Usman,54,Female,Benin City,Everyday,Current,57,56.1,250k-499k,USSD,Active
FT-C00155,Grace Williams,40,Female,Kano,Premium,Current,62,59,100k-249k,Web,Active
FT-C00156,Ada Adebayo,56,Female,Port Harcourt,Everyday,Savings,82,55.9,Below 100k,Web,Active
FT-C00157,Yusuf Eze,62,Male,Lagos,Premium,Current,71,50,250k-499k,Mobile App,Active
FT-C00158,Blessing Ojo,32,Female,Ibadan,SME,Savings,90,59.4,100k-249k,Mobile App,Active
FT-C00159,Ibrahim Garba,60,Female,Lagos,Premium,Savings,72,74.7,250k-499k,USSD,Active
FT-C00160,Mariam Adebayo,46,Male,Enugu,Student,Savings,70,69.2,500k-999k,Mobile App,Active
FT-C00161,Ada Nwosu,53,Male,Benin City,Everyday,Premium,30,60.1,1m+,Mobile App,Active
FT-C00162,David Okafor,30,Female,Kano,Student,Premium,23,94.9,1m+,Web,Active
FT-C00163,Chiamaka Garba,49,Male,Kaduna,Student,Savings,32,31.8,Below 100k,Mobile App,Dormant
FT-C00164,Ibrahim Williams,24,Male,Lagos,Everyday,Savings,86,73.5,1m+,Web,Active
FT-C00165,Grace Nwosu,39,Female,Kano,Premium,Current,57,65.4,250k-499k,Mobile App,Active
FT-C00166,Zainab Ojo,45,Male,Lagos,Everyday,Savings,9,50.5,250k-499k,Web,Dormant
FT-C00167,Amina Ibrahim,19,Male,Enugu,Student,Premium,31,74.6,Below 100k,Mobile App,Active
FT-C00168,Grace Bello,59,Female,Lagos,Everyday,Savings,71,64,500k-999k,Mobile App,Active
FT-C00169,Mariam Adeyemi,62,Female,Kano,SME,Savings,9,90.4,Below 100k,Mobile App,Active
FT-C00170,Daniel Nwosu,23,Female,Enugu,Everyday,Current,13,83.6,500k-999k,Mobile App,Active
FT-C00171,Ada Garba,45,Male,Lagos,Student,Savings,58,100,Below 100k,Mobile App,Active
FT-C00172,Ibrahim Okafor,45,Prefer not to say,Abuja,Student,Premium,3,59.3,250k-499k,Mobile App,Dormant
FT-C00173,Mariam Nwosu,61,Male,Kano,Student,Premium,35,93.1,100k-249k,Mobile App,Active
FT-C00174,Daniel Nwosu,61,Female,Abuja,Everyday,Savings,21,47,100k-249k,Mobile App,Active
FT-C00175,Mariam Adeyemi,37,Male,Lagos,Premium,Savings,64,66,Below 100k,Mobile App,Active
FT-C00176,Ibrahim Ibrahim,47,Male,Lagos,Student,Premium,95,59.6,100k-249k,Mobile App,Active
FT-C00177,Amina Williams,28,Female,Lagos,Everyday,Premium,52,78.8,Below 100k,Web,Active
FT-C00178,Fatima Nwosu,45,Female,Benin City,Everyday,Savings,34,78.4,250k-499k,Mobile App,Active
FT-C00179,Samuel Nwosu,42,Male,Port Harcourt,Premium,Current,96,51.8,250k-499k,USSD,Active
FT-C00180,Zainab Okafor,56,Female,Lagos,Premium,Savings,35,79.8,500k-999k,Web,Active
FT-C00181,Samuel Adebayo,50,Male,Abuja,Everyday,Savings,15,61.2,250k-499k,Web,Active
FT-C00182,Zainab Williams,18,Female,Abuja,Everyday,Premium,96,53.3,Below 100k,Web,Active
FT-C00183,Fatima Ojo,44,Female,Lagos,Everyday,Savings,6,67.8,100k-249k,Mobile App,Active
FT-C00184,Grace Garba,30,Female,Abuja,Student,Premium,85,41.4,100k-249k,Web,Active
FT-C00185,Ibrahim Ojo,58,Female,Lagos,Premium,Savings,32,84.8,1m+,Mobile App,Active
FT-C00186,Emeka Adeyemi,20,Male,Abuja,Student,Current,52,67,500k-999k,USSD,Dormant
FT-C00187,Fatima Bello,56,Female,Kano,SME,Savings,83,67.4,100k-249k,USSD,Active
FT-C00188,Blessing Bello,23,Male,Lagos,Premium,Savings,28,66.4,Below 100k,Mobile App,Active
FT-C00189,Blessing Williams,25,Male,Ibadan,Everyday,Current,95,97.6,500k-999k,Mobile App,Active
FT-C00190,Ada Bello,44,Male,Port Harcourt,Everyday,Savings,85,95.3,500k-999k,Mobile App,Active
FT-C00191,Mariam Eze,26,Female,Port Harcourt,Everyday,Savings,64,92.3,500k-999k,Web,Active
FT-C00192,Emeka Ibrahim,54,Male,Ibadan,SME,Savings,79,66.5,500k-999k,Mobile App,Active
FT-C00193,Fatima Williams,50,Male,Port Harcourt,Premium,Savings,78,47.9,250k-499k,Mobile App,Dormant
FT-C00194,Daniel Adebayo,59,Female,Enugu,Everyday,Current,19,67.7,Below 100k,Mobile App,Active
FT-C00195,Zainab Garba,61,Female,Ibadan,Everyday,Savings,15,73.7,250k-499k,Mobile App,Active
FT-C00196,Zainab Usman,41,Male,Port Harcourt,Premium,Savings,6,82.6,250k-499k,USSD,Active
FT-C00197,Grace Eze,32,Male,Benin City,Premium,Savings,73,73.6,250k-499k,Web,Active
FT-C00198,Amina Okafor,49,Female,Ibadan,Everyday,Savings,84,49.5,250k-499k,Mobile App,Active
FT-C00199,David Ibrahim,49,Male,Lagos,SME,Savings,38,58.4,100k-249k,Mobile App,Active
FT-C00200,Amina Ojo,41,Male,Lagos,Premium,Savings,26,56.7,100k-249k,Mobile App,Active
FT-C00201,Zainab Garba,58,Male,Lagos,Everyday,Savings,82,77.7,100k-249k,Mobile App,Active
FT-C00202,Chiamaka Mohammed,29,Male,Enugu,SME,Current,92,78.1,Below 100k,Web,Active
FT-C00203,Blessing Ojo,56,Male,Kano,Everyday,Current,51,80.5,100k-249k,Mobile App,Active
FT-C00204,Yusuf Ojo,19,Female,Kaduna,SME,Savings,73,73.4,500k-999k,Mobile App,Active
FT-C00205,Emeka Nwosu,20,Female,Ibadan,SME,Savings,96,30.9,500k-999k,USSD,Active
FT-C00206,Daniel Adebayo,54,Female,Abuja,Student,Savings,53,36.9,100k-249k,USSD,Active
FT-C00207,Blessing Okafor,34,Male,Lagos,Student,Savings,56,65.5,250k-499k,Mobile App,Active
FT-C00208,Samuel Adeyemi,19,Male,Ibadan,Everyday,Savings,59,69.8,Below 100k,Mobile App,Active
FT-C00209,Emeka Williams,19,Female,Port Harcourt,SME,Savings,70,90.6,250k-499k,Mobile App,Active
FT-C00210,Tunde Nwosu,45,Male,Kaduna,Premium,Savings,78,69.4,100k-249k,Web,Active
FT-C00211,Daniel Usman,40,Male,Lagos,Student,Savings,92,50.4,100k-249k,USSD,Active
FT-C00212,Tunde Adebayo,54,Male,Port Harcourt,SME,Savings,58,79.9,500k-999k,Mobile App,Active
FT-C00213,Yusuf Ibrahim,49,Female,Ibadan,SME,Savings,88,67.7,250k-499k,Mobile App,Active
FT-C00214,Blessing Usman,50,Male,Ibadan,Student,Savings,13,60.8,Below 100k,USSD,Active
FT-C00215,Zainab Williams,18,Female,Port Harcourt,Everyday,Savings,43,38.9,100k-249k,Web,Active
FT-C00216,Daniel Bello,36,Female,Kano,SME,Savings,76,69.5,250k-499k,USSD,Active
FT-C00217,Blessing Adeyemi,19,Female,Lagos,Premium,Savings,51,72.1,100k-249k,Mobile App,Active
FT-C00218,Tunde Adeyemi,61,Female,Kano,SME,Savings,19,50.1,500k-999k,Mobile App,Active
FT-C00219,Tunde Usman,43,Female,Ibadan,Student,Savings,21,81.4,250k-499k,Mobile App,Active
FT-C00220,Daniel Usman,49,Male,Enugu,Everyday,Savings,91,79.8,250k-499k,Mobile App,Active
FT-C00221,Fatima Williams,23,Female,Benin City,Everyday,Savings,83,68.9,250k-499k,Mobile App,Active
FT-C00222,Blessing Eze,49,Male,Lagos,Premium,Savings,24,68.2,100k-249k,Mobile App,Dormant
FT-C00223,Emeka Williams,21,Female,Lagos,Student,Savings,26,85,100k-249k,Mobile App,Active
FT-C00224,Grace Adeyemi,28,Male,Kaduna,Everyday,Current,45,74.6,100k-249k,USSD,Active
FT-C00225,Grace Adeyemi,34,Male,Port Harcourt,Premium,Savings,28,55.4,250k-499k,Mobile App,Active
FT-C00226,Amina Usman,55,Female,Enugu,Everyday,Savings,82,64.4,100k-249k,Web,Active
FT-C00227,Yusuf Eze,41,Female,Lagos,Student,Premium,29,78,500k-999k,Mobile App,Dormant
FT-C00228,Zainab Nwosu,22,Female,Ibadan,Premium,Savings,17,31.4,100k-249k,Web,Active
FT-C00229,Ibrahim Garba,51,Male,Benin City,Everyday,Savings,68,51.2,Below 100k,Mobile App,Active
FT-C00230,Samuel Adebayo,23,Male,Kaduna,Everyday,Premium,44,80.3,Below 100k,Web,Active
FT-C00231,Mariam Eze,39,Female,Lagos,Everyday,Current,61,89.8,Below 100k,Mobile App,Active
FT-C00232,Blessing Williams,28,Male,Kano,Premium,Savings,93,86.4,100k-249k,Mobile App,Restricted
FT-C00233,Chiamaka Adebayo,65,Female,Port Harcourt,Everyday,Savings,68,84.1,100k-249k,Web,Active
FT-C00234,Emeka Bello,33,Female,Lagos,Everyday,Savings,74,70.3,Below 100k,Mobile App,Active
FT-C00235,David Adebayo,50,Male,Ibadan,SME,Savings,25,49.5,250k-499k,Mobile App,Active
FT-C00236,Amina Adebayo,26,Female,Ibadan,SME,Savings,95,64.5,250k-499k,USSD,Active
FT-C00237,Ada Ojo,23,Male,Kaduna,Everyday,Savings,67,32.1,Below 100k,USSD,Active
FT-C00238,Mariam Ibrahim,33,Female,Port Harcourt,SME,Savings,2,91.4,250k-499k,Mobile App,Active
FT-C00239,Grace Nwosu,46,Prefer not to say,Lagos,Everyday,Premium,89,53.3,500k-999k,Mobile App,Active
FT-C00240,David Eze,20,Female,Lagos,Premium,Premium,49,58.4,1m+,Mobile App,Dormant
FT-C00241,Fatima Okafor,37,Female,Abuja,Premium,Savings,70,87.1,250k-499k,Mobile App,Active
FT-C00242,David Mohammed,53,Male,Lagos,Everyday,Current,26,38.9,100k-249k,USSD,Active
FT-C00243,Samuel Ibrahim,36,Female,Kano,Everyday,Savings,72,46.6,250k-499k,Mobile App,Active
FT-C00244,Grace Eze,43,Prefer not to say,Abuja,Everyday,Premium,27,72.8,250k-499k,Mobile App,Active
FT-C00245,Chiamaka Williams,20,Male,Kaduna,Everyday,Savings,89,77.4,100k-249k,USSD,Active
FT-C00246,Chiamaka Adeyemi,36,Male,Kaduna,Student,Savings,18,66.7,500k-999k,Mobile App,Active
FT-C00247,Blessing Ibrahim,37,Male,Ibadan,Everyday,Savings,54,67.3,100k-249k,Web,Active
FT-C00248,Fatima Eze,49,Male,Enugu,Everyday,Savings,1,90.8,1m+,Mobile App,Active
FT-C00249,Blessing Usman,24,Male,Kano,Everyday,Savings,61,79.5,250k-499k,Mobile App,Active
FT-C00250,Zainab Williams,58,Male,Port Harcourt,Everyday,Current,3,77,250k-499k,Mobile App,Active
FT-C00251,Ada Usman,50,Male,Lagos,Premium,Current,68,82,250k-499k,Mobile App,Active
FT-C00252,Blessing Usman,57,Female,Abuja,Everyday,Savings,41,62.6,250k-499k,Mobile App,Active
FT-C00253,Ada Adeyemi,56,Female,Port Harcourt,SME,Savings,37,100,250k-499k,Mobile App,Active
FT-C00254,Mariam Okafor,35,Male,Enugu,Everyday,Savings,51,26.5,500k-999k,Mobile App,Active
